category_code,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,isClosed,Active_Days
consulting,2010,FRA,1.0,3652913.0,1.0,3.0,1,4015.0
web,2008,FRA,1.0,3652913.0,1.0,1.0,1,4745.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
hardware,2011,USA,3.0,15600000.0,2.0,5.0,1,3650.0
web,2011,USA,3.0,1670000.0,2.0,3.0,1,3650.0
web,2011,USA,1.0,3652913.0,2.0,1.0,1,3650.0
web,2010,TUR,1.0,3652913.0,1.0,2.0,1,4015.0
ecommerce,2008,NOR,1.0,3652913.0,1.0,4.0,1,4745.0
software,2011,USA,1.0,3652913.0,2.0,5.0,1,3650.0
software,2009,GBR,1.0,350000.0,2.0,7.0,1,4380.0
advertising,2002,USA,1.0,3652913.0,1.0,1.0,1,6935.0
software,2010,ARG,1.0,3652913.0,1.0,4.0,1,4015.0
public_relations,2009,CHL,1.0,3652913.0,1.0,1.0,1,4380.0
software,2008,AUS,1.0,3652913.0,1.0,1.0,1,4745.0
real_estate,2011,USA,2.0,5020000.0,2.0,5.0,1,3650.0
web,2007,USA,1.0,3652913.0,1.0,3.0,0,365.0
security,2008,IRL,1.0,3652913.0,1.0,2.0,1,4745.0
enterprise,2011,USA,1.0,60000.0,1.0,3.0,0,730.0
mobile,2011,GBR,1.0,3652913.0,1.0,1.0,1,3650.0
web,2008,GBR,1.0,3652913.0,1.0,2.0,1,4745.0
web,2011,USA,2.0,200000.0,1.0,5.0,1,3650.0
advertising,2006,GBR,1.0,3652913.0,1.0,5.0,1,5475.0
consulting,2003,BRA,1.0,3652913.0,1.0,2.0,1,6570.0
software,2009,USA,1.0,3652913.0,1.0,6.0,1,4380.0
consulting,2005,IRL,1.0,3652913.0,1.0,1.0,1,5840.0
network_hosting,2010,LUX,1.0,3652913.0,2.0,2.0,1,4015.0
consulting,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
mobile,2011,POL,1.0,3652913.0,2.0,2.0,1,3650.0
web,2008,FRA,1.0,3652913.0,1.0,1.0,1,4745.0
mobile,2002,USA,1.0,3652913.0,2.0,4.0,1,6935.0
software,2011,CAN,1.0,3652913.0,1.0,1.0,1,3650.0
news,2002,GBR,2.0,1470552.0,1.0,4.0,1,6935.0
network_hosting,2009,USA,2.0,23000000.0,1.0,2.0,1,4380.0
ecommerce,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
biotech,2005,USA,2.0,3800000.0,1.0,3.0,1,5840.0
analytics,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
enterprise,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
enterprise,2011,GBR,1.0,3652913.0,1.0,1.0,1,3650.0
software,2011,GBR,1.0,3652913.0,1.0,3.0,1,3650.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
ecommerce,2000,CAN,1.0,3652913.0,1.0,1.0,1,7665.0
software,2003,USA,1.0,3652913.0,1.0,2.0,1,6570.0
public_relations,1996,ESP,1.0,3652913.0,1.0,2.0,1,9125.0
web,2002,IRL,1.0,3652913.0,1.0,2.0,1,6935.0
social,2011,USA,1.0,72000.0,1.0,2.0,1,3650.0
mobile,2000,CAN,1.0,3652913.0,1.0,1.0,1,7665.0
web,2011,USA,1.0,70000.0,1.0,1.0,1,3650.0
public_relations,2009,USA,1.0,3652913.0,1.0,3.0,1,4380.0
mobile,1999,USA,1.0,3652913.0,1.0,1.0,1,8030.0
cleantech,2009,USA,3.0,7360000.0,1.0,7.0,1,4380.0
medical,2011,DEU,2.0,2296575.0,1.0,1.0,1,3650.0
pets,1999,USA,1.0,9000000.0,1.0,6.0,1,8030.0
consulting,2002,CHE,1.0,3652913.0,1.0,3.0,1,6935.0
web,2012,USA,1.0,3652913.0,1.0,2.0,1,3285.0
software,2005,USA,3.0,11035000.0,1.0,3.0,0,2190.0
other,2011,IND,1.0,3652913.0,1.0,1.0,1,3650.0
consulting,2004,USA,1.0,3652913.0,1.0,1.0,1,6205.0
other,2011,ALB,1.0,3652913.0,2.0,2.0,1,3650.0
web,2008,CZE,1.0,3652913.0,1.0,2.0,1,4745.0
other,1987,ESP,1.0,3652913.0,1.0,6.0,1,12410.0
software,2007,USA,1.0,3652913.0,2.0,7.0,1,5110.0
advertising,1999,IND,1.0,3652913.0,1.0,3.0,1,8030.0
other,2011,LVA,1.0,3652913.0,1.0,2.0,1,3650.0
public_relations,2005,BEL,1.0,3652913.0,1.0,2.0,1,5840.0
web,2008,IND,1.0,3652913.0,1.0,1.0,1,4745.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
games_video,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
web,2003,USA,1.0,3652913.0,1.0,2.0,1,6570.0
enterprise,2007,USA,3.0,7349500.0,1.0,1.0,1,5110.0
other,2011,ITA,1.0,3652913.0,1.0,1.0,1,3650.0
ecommerce,2008,NLD,1.0,3652913.0,1.0,2.0,1,4745.0
public_relations,2006,JPN,1.0,3652913.0,2.0,7.0,1,5475.0
mobile,2011,GBR,1.0,3652913.0,1.0,3.0,1,3650.0
mobile,2011,DEU,1.0,3652913.0,1.0,2.0,1,3650.0
web,2006,USA,1.0,3652913.0,1.0,2.0,1,5475.0
advertising,2006,FRA,1.0,3652913.0,1.0,2.0,0,2190.0
software,2011,USA,1.0,10000000.0,2.0,1.0,1,3650.0
ecommerce,2004,DEU,1.0,3652913.0,2.0,3.0,1,6205.0
games_video,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
finance,2011,CAN,1.0,2000000.0,3.0,4.0,1,3650.0
software,2011,USA,1.0,70000.0,2.0,3.0,0,730.0
cleantech,2008,USA,2.0,11300000.0,1.0,1.0,1,4745.0
web,2011,GBR,1.0,1552.0,1.0,1.0,0,730.0
other,2009,CHE,1.0,1700000.0,1.0,4.0,1,4380.0
travel,2012,GBR,1.0,3652913.0,1.0,3.0,1,3285.0
social,2011,USA,1.0,150000.0,1.0,1.0,0,730.0
enterprise,2011,USA,2.0,10500000.0,3.0,6.0,1,3650.0
games_video,2006,USA,1.0,3652913.0,1.0,1.0,1,5475.0
software,2006,USA,1.0,3652913.0,1.0,1.0,1,5475.0
software,2004,USA,1.0,3652913.0,1.0,6.0,1,6205.0
other,2003,USA,1.0,3652913.0,1.0,2.0,1,6570.0
security,1974,USA,1.0,5140000.0,2.0,1.0,1,17155.0
ecommerce,2011,DEU,1.0,3652913.0,1.0,2.0,1,3650.0
software,2000,USA,1.0,3652913.0,1.0,1.0,1,7665.0
ecommerce,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
social,2011,USA,1.0,100000.0,2.0,4.0,0,730.0
public_relations,2006,IRL,1.0,3652913.0,1.0,4.0,1,5475.0
games_video,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
enterprise,2000,USA,1.0,3652913.0,1.0,2.0,1,7665.0
enterprise,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
ecommerce,2006,IND,1.0,3652913.0,1.0,2.0,1,5475.0
sports,2011,ESP,1.0,175916.0,1.0,1.0,0,730.0
enterprise,2011,CAN,1.0,650000.0,1.0,5.0,1,3650.0
web,2012,USA,1.0,3652913.0,1.0,3.0,1,3285.0
other,2011,AUS,1.0,3652913.0,1.0,1.0,1,3650.0
consulting,2008,CHN,1.0,3652913.0,1.0,1.0,1,4745.0
software,2010,DEU,1.0,3652913.0,2.0,5.0,1,4015.0
other,2011,SGP,1.0,3652913.0,2.0,1.0,1,3650.0
mobile,2010,ISR,2.0,1800000.0,2.0,4.0,1,4015.0
education,2011,SVK,1.0,3652913.0,1.0,5.0,1,3650.0
hardware,2011,USA,1.0,13100.0,1.0,2.0,1,3650.0
mobile,2003,ITA,3.0,1100000.0,1.0,1.0,1,6570.0
web,2009,GBR,1.0,3652913.0,1.0,1.0,1,4380.0
advertising,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
consulting,2000,USA,1.0,3652913.0,1.0,1.0,1,7665.0
advertising,2006,USA,1.0,3652913.0,2.0,1.0,1,5475.0
advertising,2009,DEU,1.0,3652913.0,1.0,2.0,1,4380.0
advertising,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
analytics,2011,GBR,2.0,2440250.0,3.0,4.0,1,3650.0
other,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
web,2004,SVN,1.0,3652913.0,1.0,3.0,1,6205.0
ecommerce,2011,IND,1.0,3652913.0,1.0,1.0,1,3650.0
cleantech,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
web,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
other,2011,CHE,1.0,3652913.0,2.0,1.0,1,3650.0
other,2007,IND,1.0,3652913.0,1.0,1.0,1,5110.0
biotech,1967,USA,1.0,10000000.0,1.0,7.0,1,19710.0
network_hosting,2000,USA,1.0,3652913.0,1.0,2.0,1,7665.0
web,2011,USA,1.0,3652913.0,2.0,3.0,1,3650.0
web,2011,USA,1.0,1000000.0,2.0,2.0,0,730.0
enterprise,2008,USA,1.0,125000.0,1.0,2.0,0,1825.0
analytics,2011,ARG,1.0,50000.0,1.0,2.0,1,3650.0
software,2012,GBR,1.0,787931.0,2.0,1.0,1,3285.0
software,2006,USA,1.0,3652913.0,1.0,2.0,1,5475.0
ecommerce,2011,IND,1.0,3652913.0,1.0,1.0,1,3650.0
ecommerce,1997,USA,1.0,3652913.0,1.0,4.0,1,8760.0
hardware,1987,USA,1.0,3652913.0,1.0,3.0,1,12410.0
mobile,2005,ARG,1.0,6500000.0,1.0,8.0,1,5840.0
web,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
education,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
sports,2010,USA,1.0,18000.0,2.0,5.0,1,4015.0
software,2011,USA,1.0,3652913.0,1.0,4.0,1,3650.0
software,2011,AUS,1.0,3652913.0,1.0,3.0,1,3650.0
consulting,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
enterprise,2011,CAN,1.0,3652913.0,1.0,1.0,1,3650.0
web,2007,GRC,1.0,3652913.0,1.0,1.0,1,5110.0
enterprise,2011,USA,1.0,2500000.0,2.0,4.0,1,3650.0
network_hosting,2002,GBR,1.0,3652913.0,1.0,1.0,1,6935.0
web,2011,TUR,1.0,3652913.0,1.0,2.0,1,3650.0
education,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
consulting,1997,GBR,1.0,3652913.0,1.0,2.0,1,8760.0
software,2011,ZAF,1.0,3652913.0,1.0,6.0,1,3650.0
software,2009,USA,2.0,17630000.0,2.0,6.0,1,4380.0
public_relations,2011,DNK,1.0,3652913.0,1.0,3.0,1,3650.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
advertising,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
hardware,2011,USA,1.0,3652913.0,2.0,2.0,1,3650.0
mobile,2010,USA,2.0,2457500.0,1.0,4.0,1,4015.0
hardware,2010,CAN,1.0,40000.0,1.0,1.0,1,4015.0
photo_video,2008,LUX,1.0,5400000.0,2.0,6.0,1,4745.0
ecommerce,2011,IDN,1.0,3652913.0,1.0,1.0,1,3650.0
games_video,2011,USA,1.0,200000.0,1.0,1.0,1,3650.0
enterprise,2008,USA,3.0,11000000.0,2.0,8.0,1,4745.0
advertising,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
ecommerce,2010,TUR,1.0,3652913.0,1.0,2.0,1,4015.0
network_hosting,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
ecommerce,2011,IND,1.0,3652913.0,1.0,6.0,1,3650.0
software,2007,USA,1.0,3652913.0,1.0,8.0,1,5110.0
web,2010,CHE,1.0,3652913.0,1.0,1.0,1,4015.0
software,1999,CAN,1.0,3652913.0,1.0,7.0,1,8030.0
software,2011,BGR,1.0,3652913.0,1.0,2.0,1,3650.0
web,2011,TUR,1.0,3652913.0,1.0,1.0,1,3650.0
software,2007,ISR,1.0,3652913.0,1.0,6.0,1,5110.0
advertising,2009,GBR,1.0,3652913.0,1.0,5.0,1,4380.0
ecommerce,2010,USA,1.0,3652913.0,2.0,7.0,1,4015.0
web,2011,ISR,1.0,3652913.0,1.0,3.0,1,3650.0
other,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
software,2011,USA,1.0,4000000.0,1.0,1.0,1,3650.0
public_relations,1998,USA,1.0,3652913.0,1.0,1.0,1,8395.0
software,1997,USA,1.0,3652913.0,1.0,3.0,1,8760.0
software,2010,USA,1.0,3652913.0,1.0,2.0,1,4015.0
other,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
games_video,2011,USA,1.0,3652913.0,2.0,4.0,1,3650.0
public_relations,2006,GBR,1.0,451491.0,1.0,1.0,1,5475.0
public_relations,2003,USA,1.0,3652913.0,1.0,1.0,1,6570.0
web,2007,USA,1.0,3652913.0,1.0,2.0,1,5110.0
hospitality,2011,USA,3.0,10500000.0,2.0,5.0,1,3650.0
web,2011,GBR,1.0,3652913.0,1.0,6.0,1,3650.0
advertising,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
consulting,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
advertising,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
web,2011,USA,1.0,3652913.0,2.0,4.0,1,3650.0
software,2011,USA,1.0,3652913.0,2.0,1.0,1,3650.0
fashion,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
web,2006,CAN,2.0,500000.0,1.0,3.0,1,5475.0
other,1990,USA,1.0,3652913.0,1.0,1.0,1,11315.0
ecommerce,2002,USA,1.0,3652913.0,1.0,2.0,1,6935.0
games_video,2011,DEU,1.0,40000.0,2.0,3.0,1,3650.0
mobile,2006,IND,1.0,3652913.0,2.0,1.0,1,5475.0
ecommerce,2009,IND,1.0,3652913.0,1.0,1.0,1,4380.0
other,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
games_video,2007,USA,1.0,3652913.0,3.0,4.0,1,5110.0
travel,2007,ESP,1.0,3652913.0,1.0,1.0,1,5110.0
web,1985,HKG,1.0,3652913.0,1.0,1.0,1,13140.0
software,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
social,2011,ITA,1.0,42423.0,1.0,1.0,1,3650.0
games_video,2008,USA,1.0,3652913.0,2.0,2.0,1,4745.0
software,2009,USA,1.0,863400.0,1.0,3.0,1,4380.0
web,2011,CAN,1.0,3652913.0,1.0,4.0,1,3650.0
network_hosting,2003,USA,1.0,3652913.0,1.0,1.0,1,6570.0
education,2011,ZAF,1.0,3652913.0,1.0,2.0,1,3650.0
education,2003,USA,1.0,3652913.0,1.0,3.0,1,6570.0
software,2011,GBR,1.0,3652913.0,1.0,1.0,1,3650.0
web,2011,FRA,1.0,3652913.0,1.0,2.0,1,3650.0
software,2011,USA,1.0,3652913.0,2.0,5.0,1,3650.0
education,2008,ESP,1.0,3652913.0,1.0,1.0,1,4745.0
mobile,2010,USA,1.0,3652913.0,1.0,2.0,1,4015.0
enterprise,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
other,2005,DEU,1.0,3652913.0,1.0,1.0,1,5840.0
nonprofit,2011,USA,1.0,200000.0,1.0,1.0,1,3650.0
ecommerce,2004,USA,1.0,3652913.0,1.0,1.0,1,6205.0
web,2006,CAN,1.0,3652913.0,1.0,2.0,1,5475.0
games_video,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
web,2011,USA,1.0,3652913.0,2.0,3.0,1,3650.0
network_hosting,2010,GBR,1.0,3652913.0,1.0,1.0,1,4015.0
ecommerce,1935,USA,1.0,3652913.0,1.0,1.0,1,31390.0
cleantech,2008,USA,1.0,3652913.0,1.0,3.0,1,4745.0
web,2011,USA,3.0,720000.0,1.0,6.0,1,3650.0
ecommerce,2002,USA,1.0,3652913.0,1.0,2.0,1,6935.0
software,1996,UKR,1.0,3652913.0,1.0,1.0,1,9125.0
software,2005,USA,1.0,3652913.0,1.0,2.0,1,5840.0
software,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
web,2005,USA,1.0,3652913.0,2.0,1.0,1,5840.0
mobile,2010,USA,1.0,3652913.0,2.0,2.0,1,4015.0
enterprise,2010,USA,1.0,3652913.0,1.0,2.0,1,4015.0
ecommerce,2011,USA,1.0,3652913.0,1.0,4.0,0,730.0
consulting,2011,DNK,1.0,3652913.0,1.0,1.0,1,3650.0
mobile,2005,IND,1.0,3652913.0,1.0,1.0,1,5840.0
advertising,2011,UKR,1.0,3652913.0,2.0,2.0,1,3650.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
advertising,2004,USA,1.0,3652913.0,1.0,6.0,1,6205.0
education,2004,USA,1.0,3652913.0,1.0,1.0,1,6205.0
advertising,2010,BEL,1.0,3652913.0,1.0,1.0,1,4015.0
semiconductor,2008,USA,1.0,3652913.0,2.0,1.0,1,4745.0
web,2011,USA,1.0,3652913.0,2.0,1.0,1,3650.0
consulting,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
fashion,2011,USA,1.0,1800000.0,1.0,1.0,1,3650.0
education,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
software,2004,USA,1.0,4000000.0,1.0,3.0,1,6205.0
software,2009,USA,3.0,461500.0,1.0,6.0,1,4380.0
advertising,2003,USA,1.0,3652913.0,1.0,1.0,1,6570.0
ecommerce,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
consulting,2011,CAN,1.0,3652913.0,1.0,5.0,1,3650.0
hardware,2010,USA,3.0,15200000.0,1.0,5.0,1,4015.0
search,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
consulting,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
mobile,2011,USA,1.0,25000.0,2.0,7.0,1,3650.0
advertising,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
other,1999,USA,1.0,3652913.0,1.0,1.0,1,8030.0
web,1994,USA,1.0,3652913.0,1.0,1.0,1,9855.0
web,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
web,2011,USA,1.0,1000000.0,2.0,5.0,1,3650.0
other,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
web,2000,USA,1.0,3652913.0,3.0,8.0,1,7665.0
consulting,2009,GBR,1.0,3652913.0,1.0,3.0,1,4380.0
consulting,2010,FRA,1.0,3652913.0,1.0,2.0,1,4015.0
education,2010,USA,1.0,750000.0,2.0,3.0,1,4015.0
education,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
software,2006,USA,2.0,962574.0,1.0,6.0,1,5475.0
education,2011,USA,2.0,500000.0,2.0,3.0,1,3650.0
web,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
games_video,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
software,2001,USA,1.0,3652913.0,1.0,2.0,1,7300.0
software,2010,IND,1.0,3652913.0,1.0,3.0,1,4015.0
other,2011,USA,1.0,3652913.0,2.0,4.0,1,3650.0
games_video,2011,CAN,1.0,3652913.0,1.0,2.0,1,3650.0
web,1998,CAN,1.0,3652913.0,1.0,5.0,1,8395.0
web,2008,USA,1.0,2500000.0,1.0,4.0,1,4745.0
web,2011,ZAF,1.0,3652913.0,1.0,4.0,1,3650.0
search,1999,IND,1.0,3652913.0,1.0,2.0,1,8030.0
software,2011,POL,1.0,3652913.0,2.0,2.0,1,3650.0
enterprise,2008,IND,1.0,3652913.0,2.0,2.0,1,4745.0
public_relations,2006,ESP,1.0,3652913.0,1.0,2.0,1,5475.0
analytics,2011,NLD,1.0,310000.0,1.0,3.0,1,3650.0
hospitality,2010,USA,1.0,800000.0,1.0,3.0,1,4015.0
web,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
other,2010,IND,1.0,3652913.0,1.0,1.0,1,4015.0
web,2010,GBR,1.0,3652913.0,1.0,3.0,1,4015.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
health,2010,USA,1.0,3652913.0,1.0,7.0,1,4015.0
software,2000,USA,1.0,3652913.0,1.0,3.0,1,7665.0
ecommerce,2011,USA,1.0,3652913.0,2.0,2.0,1,3650.0
hospitality,2011,ITA,1.0,3652913.0,1.0,1.0,1,3650.0
search,2011,USA,1.0,5000.0,1.0,1.0,1,3650.0
enterprise,2011,ISR,3.0,200000.0,2.0,3.0,1,3650.0
advertising,2011,AUS,1.0,3652913.0,1.0,6.0,1,3650.0
consulting,2005,GBR,1.0,3652913.0,1.0,1.0,1,5840.0
cleantech,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
analytics,2010,USA,2.0,637500.0,1.0,5.0,1,4015.0
other,2008,USA,1.0,3652913.0,2.0,2.0,1,4745.0
ecommerce,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
web,2009,USA,1.0,3652913.0,1.0,7.0,1,4380.0
ecommerce,2011,USA,2.0,100000.0,1.0,5.0,1,3650.0
software,2008,USA,1.0,3652913.0,1.0,3.0,1,4745.0
consulting,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
education,2005,USA,1.0,3652913.0,1.0,1.0,1,5840.0
software,2011,IND,1.0,3652913.0,1.0,2.0,1,3650.0
software,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
cleantech,1989,CAN,1.0,3652913.0,1.0,1.0,1,11680.0
software,2004,USA,1.0,3652913.0,1.0,4.0,1,6205.0
medical,2007,USA,3.0,12650000.0,1.0,1.0,1,5110.0
consulting,2010,ESP,1.0,3652913.0,1.0,1.0,1,4015.0
other,2008,USA,1.0,3652913.0,2.0,1.0,1,4745.0
ecommerce,2011,IRL,1.0,800000.0,1.0,7.0,1,3650.0
software,2011,ISR,1.0,3652913.0,2.0,1.0,1,3650.0
other,2004,GBR,1.0,3652913.0,1.0,1.0,1,6205.0
web,2012,DEU,1.0,3652913.0,1.0,3.0,1,3285.0
enterprise,2009,GBR,1.0,3652913.0,1.0,1.0,1,4380.0
software,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
social,2012,USA,2.0,500000.0,2.0,2.0,1,3285.0
health,2011,USA,2.0,3125000.0,2.0,8.0,1,3650.0
other,2010,BEL,1.0,3652913.0,1.0,3.0,1,4015.0
games_video,2008,IRL,1.0,3652913.0,1.0,3.0,1,4745.0
other,2011,FRA,1.0,3652913.0,1.0,1.0,1,3650.0
web,2000,GRC,1.0,3652913.0,2.0,3.0,1,7665.0
other,2011,GBR,1.0,3652913.0,1.0,4.0,1,3650.0
enterprise,1968,USA,1.0,3652913.0,1.0,1.0,1,19345.0
mobile,2012,USA,1.0,1200000.0,1.0,5.0,1,3285.0
software,2011,MEX,1.0,3652913.0,1.0,1.0,1,3650.0
education,1986,USA,1.0,3652913.0,1.0,2.0,1,12775.0
advertising,2011,USA,3.0,950000.0,2.0,3.0,1,3650.0
other,1997,USA,1.0,3652913.0,1.0,1.0,1,8760.0
software,2010,FRA,1.0,288160.0,1.0,4.0,1,4015.0
ecommerce,2008,BRA,1.0,3652913.0,2.0,2.0,1,4745.0
network_hosting,2003,BRA,1.0,3652913.0,1.0,2.0,1,6570.0
consulting,1998,USA,1.0,3652913.0,1.0,1.0,1,8395.0
search,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
software,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
advertising,1999,IND,1.0,3652913.0,1.0,2.0,1,8030.0
software,2010,BEL,1.0,621246.0,2.0,4.0,1,4015.0
ecommerce,2011,IND,1.0,3652913.0,1.0,1.0,1,3650.0
software,2009,IND,1.0,3652913.0,1.0,2.0,1,4380.0
mobile,2011,USA,1.0,200000.0,2.0,6.0,1,3650.0
mobile,2012,USA,1.0,3652913.0,1.0,2.0,1,3285.0
consulting,2007,RUS,1.0,3652913.0,1.0,3.0,1,5110.0
education,2011,USA,1.0,3652913.0,1.0,4.0,1,3650.0
other,2000,CHE,1.0,3652913.0,1.0,1.0,1,7665.0
consulting,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
other,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
software,2000,FRA,1.0,3652913.0,1.0,5.0,1,7665.0
ecommerce,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
web,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
software,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
ecommerce,2010,USA,1.0,250000.0,1.0,4.0,1,4015.0
social,2011,DEU,1.0,3652913.0,1.0,1.0,1,3650.0
ecommerce,2011,USA,1.0,3652913.0,2.0,3.0,1,3650.0
software,2011,USA,1.0,740000.0,1.0,4.0,1,3650.0
enterprise,2011,FRA,1.0,3652913.0,1.0,3.0,1,3650.0
enterprise,2011,USA,3.0,5000000.0,2.0,8.0,1,3650.0
web,2004,USA,1.0,3652913.0,1.0,1.0,1,6205.0
mobile,2002,AUS,1.0,3652913.0,1.0,3.0,1,6935.0
consulting,1982,USA,1.0,3652913.0,1.0,1.0,1,14235.0
education,2005,USA,1.0,3652913.0,1.0,1.0,1,5840.0
advertising,2010,USA,1.0,3652913.0,2.0,7.0,1,4015.0
web,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
software,1978,USA,1.0,1000000.0,1.0,3.0,1,15695.0
ecommerce,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
mobile,2011,IRL,1.0,3652913.0,1.0,3.0,1,3650.0
advertising,1993,USA,1.0,3652913.0,1.0,1.0,1,10220.0
advertising,2010,IND,1.0,12000.0,1.0,3.0,1,4015.0
software,2010,ROM,1.0,3652913.0,1.0,1.0,1,4015.0
software,2012,IND,1.0,3652913.0,1.0,1.0,1,3285.0
games_video,2010,USA,1.0,3652913.0,1.0,3.0,1,4015.0
software,2006,IND,1.0,3652913.0,1.0,2.0,1,5475.0
semiconductor,2001,CHN,1.0,3652913.0,1.0,1.0,1,7300.0
games_video,2004,CHN,1.0,3652913.0,1.0,1.0,1,6205.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
software,2011,PRT,1.0,3652913.0,1.0,2.0,1,3650.0
software,2008,USA,1.0,3652913.0,2.0,3.0,1,4745.0
ecommerce,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
web,2009,USA,1.0,700000.0,1.0,1.0,1,4380.0
web,2001,USA,1.0,3652913.0,1.0,5.0,1,7300.0
mobile,2012,USA,1.0,3652913.0,1.0,5.0,1,3285.0
public_relations,2005,USA,1.0,3652913.0,1.0,2.0,1,5840.0
software,2002,USA,1.0,3652913.0,1.0,2.0,1,6935.0
software,2011,USA,3.0,10189773.0,1.0,4.0,1,3650.0
web,2011,PRT,1.0,3652913.0,1.0,2.0,1,3650.0
education,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
enterprise,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
biotech,1991,SWE,2.0,19521927.0,1.0,4.0,1,10950.0
ecommerce,2010,KOR,1.0,3652913.0,1.0,1.0,1,4015.0
enterprise,2006,NLD,1.0,3652913.0,1.0,1.0,1,5475.0
web,2009,GBR,1.0,2000000.0,1.0,2.0,1,4380.0
software,2012,GBR,1.0,3652913.0,1.0,6.0,1,3285.0
other,2012,GRC,1.0,3652913.0,2.0,2.0,1,3285.0
software,2011,GBR,1.0,3652913.0,1.0,2.0,1,3650.0
software,2011,IRL,3.0,546060.0,1.0,1.0,1,3650.0
software,1997,GBR,1.0,3652913.0,1.0,2.0,1,8760.0
advertising,2011,SVN,1.0,3652913.0,1.0,1.0,1,3650.0
consulting,2000,USA,1.0,3652913.0,1.0,2.0,1,7665.0
web,2007,GBR,1.0,3652913.0,1.0,1.0,1,5110.0
software,1997,THA,1.0,3652913.0,2.0,2.0,1,8760.0
